unique_id,cutoff,metric,SeasonalNaive,Naive,AutoETS,AutoARIMA,XGBRegressor,LGBMRegressor,NBEATS,NHITS,TimeGPT
hotel_98,2023-05-05,mape,1.559240368039502,1.3563968857814472,0.6919683864372913,0.8148019813265494,1.233659742596245,1.4770594887340782,0.7629392750803436,0.9867959163584548,0.19308415065053772
hotel_0,2023-05-12,mape,,,,,,,,,0.1694737059911637
hotel_105,2023-05-12,mape,,,,,,,,,0.06035557297637637
hotel_112,2023-05-12,mape,,,,,,,,,0.0713661992028438
hotel_126,2023-05-12,mape,,,,,,,,,0.029025979334955244
hotel_133,2023-05-12,mape,,,,,,,,,0.053649499456702145
hotel_14,2023-05-12,mape,,,,,,,,,0.20657486800054187
hotel_21,2023-05-12,mape,,,,,,,,,0.041205056718311005
hotel_28,2023-05-12,mape,,,,,,,,,
hotel_35,2023-05-12,mape,,,,,,,,,0.04284586552977456
hotel_42,2023-05-12,mape,,,,,,,,,0.10720171474732944
hotel_49,2023-05-12,mape,,,,,,,,,0.19850457863239418
hotel_56,2023-05-12,mape,,,,,,,,,0.06613534107499777
hotel_63,2023-05-12,mape,,,,,,,,,0.08023981567426372
hotel_7,2023-05-12,mape,,,,,,,,,0.05143769579513957
hotel_70,2023-05-12,mape,,,,,,,,,0.2085020031060245
hotel_84,2023-05-12,mape,,,,,,,,,0.07242031976043327
hotel_91,2023-05-12,mape,,,,,,,,,0.12430029943680257
hotel_98,2023-05-12,mape,,,,,,,,,0.3622619692472645
hotel_0,2023-05-19,mape,,,,,,,,,0.18636506121908808
hotel_105,2023-05-19,mape,,,,,,,,,0.059692330587781596
hotel_112,2023-05-19,mape,,,,,,,,,0.09170895780130162
hotel_126,2023-05-19,mape,,,,,,,,,0.03985686748760962
hotel_133,2023-05-19,mape,,,,,,,,,0.06121609381882842
hotel_14,2023-05-19,mape,,,,,,,,,0.21360703915090615
hotel_21,2023-05-19,mape,,,,,,,,,0.02954793925717447
hotel_28,2023-05-19,mape,,,,,,,,,2.2266386600000128
hotel_35,2023-05-19,mape,,,,,,,,,0.04223469241292489
hotel_42,2023-05-19,mape,,,,,,,,,0.11017424212609343
hotel_49,2023-05-19,mape,,,,,,,,,0.13887903823716702
hotel_56,2023-05-19,mape,,,,,,,,,0.056874871864587444
hotel_63,2023-05-19,mape,,,,,,,,,0.08253744070295492
hotel_7,2023-05-19,mape,,,,,,,,,0.05282691819726252
hotel_70,2023-05-19,mape,,,,,,,,,0.20836752647698825
hotel_84,2023-05-19,mape,,,,,,,,,0.10010960339116691
hotel_91,2023-05-19,mape,,,,,,,,,0.0862486660551439
hotel_98,2023-05-19,mape,,,,,,,,,0.41978394686101156
hotel_0,2023-05-26,mape,,,,,,,,,0.15150533613183328
hotel_105,2023-05-26,mape,,,,,,,,,0.04134879508207438
hotel_112,2023-05-26,mape,,,,,,,,,0.10976386057431396
hotel_126,2023-05-26,mape,,,,,,,,,0.02725570599055798
hotel_133,2023-05-26,mape,,,,,,,,,0.037223470687441244
hotel_14,2023-05-26,mape,,,,,,,,,0.13026549293616724
hotel_21,2023-05-26,mape,,,,,,,,,0.028384100342797723
hotel_28,2023-05-26,mape,,,,,,,,,5.277600380000025
hotel_35,2023-05-26,mape,,,,,,,,,0.03579592774116513
hotel_42,2023-05-26,mape,,,,,,,,,0.11722537514834223
hotel_49,2023-05-26,mape,,,,,,,,,0.05576743751559648
hotel_56,2023-05-26,mape,,,,,,,,,0.0447556464656685
hotel_63,2023-05-26,mape,,,,,,,,,0.05999452127729606
hotel_7,2023-05-26,mape,,,,,,,,,0.06717450801093426
hotel_70,2023-05-26,mape,,,,,,,,,0.2616536129808739
hotel_84,2023-05-26,mape,,,,,,,,,0.06292526732173079
hotel_91,2023-05-26,mape,,,,,,,,,0.046679729166723624
hotel_98,2023-05-26,mape,,,,,,,,,0.37434051284738123
hotel_0,2023-06-02,mape,0.4154426682794849,0.15485232093801843,0.2636905505839509,0.21264645391904358,0.20501044105934313,0.19629523700158077,0.14963521099909063,0.14905831455519097,0.06369935659390769
hotel_105,2023-06-02,mape,0.055091467747823586,0.05169336543980481,0.08013102395420078,0.075569045692337,0.06935440004740215,0.0732322845295269,0.0679943541920024,0.06307245034610674,0.033582655289617964
hotel_112,2023-06-02,mape,0.1596537436001604,0.13956099134250016,0.10366192690584417,0.10736019686009554,0.11900478966314798,0.10264216899183062,0.10551276640743736,0.11451989566472555,0.08538133443714917
