unique_id,ds,cutoff,NBEATS,NHITS,y
hotel_112,2023-03-11,2023-03-10,0.872598,0.8911462,0.95
hotel_112,2023-03-12,2023-03-10,0.8525762,0.8812523,0.9875
hotel_112,2023-03-13,2023-03-10,0.88892627,0.9028631,0.96875
hotel_112,2023-03-14,2023-03-10,0.8957252,0.91342616,1.01875
hotel_112,2023-03-15,2023-03-10,0.86824924,0.89994186,1.0
hotel_112,2023-03-16,2023-03-10,0.86655635,0.8969447,0.975
hotel_112,2023-03-17,2023-03-10,0.8947065,0.89948046,0.975
hotel_112,2023-03-18,2023-03-10,0.84895456,0.861311,0.91875
hotel_112,2023-03-19,2023-03-10,0.8350275,0.87058,0.99375
hotel_112,2023-03-20,2023-03-10,0.8881179,0.8983594,0.89375
hotel_112,2023-03-21,2023-03-10,0.9017882,0.90710765,0.94375
hotel_112,2023-03-22,2023-03-10,0.86440724,0.89299047,0.8125
hotel_112,2023-03-23,2023-03-10,0.86883247,0.895119,0.80625
hotel_112,2023-03-24,2023-03-10,0.8988967,0.9016465,0.99375
hotel_112,2023-03-25,2023-03-10,0.8448526,0.8552356,0.81875
hotel_112,2023-03-26,2023-03-10,0.82693374,0.8644998,0.9875
hotel_112,2023-03-27,2023-03-10,0.86842537,0.88769794,0.89375
hotel_112,2023-03-28,2023-03-10,0.88570994,0.89396757,0.9
hotel_112,2023-03-29,2023-03-10,0.8595499,0.89259386,0.99375
hotel_112,2023-03-30,2023-03-10,0.86541986,0.8890429,0.9625
hotel_112,2023-03-31,2023-03-10,0.8795445,0.8861423,0.75625
hotel_112,2023-04-01,2023-03-10,0.8395005,0.8497056,0.825
hotel_112,2023-04-02,2023-03-10,0.8352484,0.8554328,0.74375
hotel_112,2023-04-03,2023-03-10,0.86772215,0.8853058,0.81875
hotel_112,2023-04-04,2023-03-10,0.8821572,0.89593995,0.75625
hotel_112,2023-04-05,2023-03-10,0.8502174,0.8840806,0.75625
hotel_112,2023-04-06,2023-03-10,0.8503819,0.8933737,0.675
hotel_112,2023-04-07,2023-03-10,0.87779695,0.88756466,0.65625
hotel_112,2023-04-08,2023-04-07,0.7241848,0.744964,0.79375
hotel_112,2023-04-09,2023-04-07,0.7719579,0.79219663,0.66875
hotel_112,2023-04-10,2023-04-07,0.80272883,0.8169508,0.7125
hotel_112,2023-04-11,2023-04-07,0.81208205,0.84082943,0.6375
hotel_112,2023-04-12,2023-04-07,0.82134175,0.8470523,0.95625
hotel_112,2023-04-13,2023-04-07,0.79140604,0.8136289,0.95
hotel_112,2023-04-14,2023-04-07,0.77333623,0.7927298,0.8
hotel_112,2023-04-15,2023-04-07,0.7956016,0.825202,0.7125
hotel_112,2023-04-16,2023-04-07,0.8188852,0.8500703,0.70625
hotel_112,2023-04-17,2023-04-07,0.8373857,0.86731577,0.875
hotel_112,2023-04-18,2023-04-07,0.8391983,0.8757075,0.875
